SUBSCRIBER_ID,BILL_MONTH,CHARGES
4341,2017-01-01,7.848
1518,2016-11-01,4.446
142,2017-01-01,9.269
4527,2016-10-01,29.794
4330,2017-07-01,4.964
4652,2017-07-01,7.544
5389,2016-08-01,0.000
3478,2016-06-01,4.117
1049,2016-09-01,11.661
970,2017-04-01,7.548
2323,2016-08-01,4.025
5241,2016-09-01,4.696
3878,2017-05-01,5.149
1666,2016-11-01,6.744
5655,2016-08-01,1.878
3177,2016-11-01,6.964
2839,2017-04-01,5.487
4741,2016-11-01,4.572
1754,2016-12-01,6.753
381,2017-07-01,6.498
5832,2016-09-01,0.122
5277,2017-06-01,2.028
4512,2017-09-01,5.237
1688,2017-01-01,6.670
3204,2016-12-01,4.554
1277,2017-09-01,7.256
5424,2016-09-01,9.970
5710,2017-11-01,8.600
697,2017-11-01,10.650
4625,2017-07-01,4.984
771,2017-06-01,15.134
3862,2017-04-01,17.573
498,2017-08-01,6.403
5134,2017-04-01,7.536
4243,2016-10-01,7.866
5730,2017-09-01,5.046
1972,2017-01-01,9.798
3754,2016-10-01,6.670
1114,2017-08-01,6.086
3151,2017-11-01,2.677
4196,2017-08-01,4.984
5835,2017-02-01,3.036
1812,2017-02-01,1.711
4541,2016-09-01,24.922
2547,2017-08-01,7.488
5016,2016-11-01,5.876
1238,2016-09-01,6.903
5132,2016-10-01,5.043
1750,2016-07-01,7.174
5014,2016-09-01,6.105
4922,2017-05-01,6.788
252,2016-12-01,5.506
3300,2017-08-01,5.562
3594,2016-12-01,7.167
1422,2017-05-01,6.792
5558,2017-11-01,6.888
5232,2016-10-01,6.670
3727,2016-10-01,5.002
4802,2016-06-01,9.708
2980,2017-08-01,4.964
3949,2017-08-01,5.738
1552,2017-08-01,13.448
4341,2016-07-01,13.246
1518,2017-10-01,5.064
142,2017-12-01,5.204
4527,2016-11-01,12.570
4330,2017-03-01,4.528
4652,2016-12-01,4.896
5389,2017-06-01,0.000
3478,2016-10-01,6.702
1049,2017-12-01,16.702
970,2017-09-01,6.071
2323,2016-09-01,4.586
5241,2017-11-01,4.450
3878,2017-08-01,5.058
1666,2017-07-01,7.254
5655,2016-06-01,1.398
3177,2017-10-01,13.420
2839,2016-11-01,7.480
4741,2017-09-01,5.610
1754,2016-11-01,6.780
381,2017-06-01,8.301
2935,2017-05-01,8.483
5277,2016-08-01,1.311
4512,2017-07-01,6.918
