iter	Passed	Remaining
945	9536	544
946	9547	534
947	9559	524
948	9571	514
949	9583	504
950	9597	494
951	9606	484
952	9617	474
953	9628	464
954	9637	454
955	9647	444
956	9657	433
957	9666	423
958	9676	413
959	9686	403
960	9696	393
961	9705	383
962	9715	373
963	9725	363
964	9734	353
965	9745	342
966	9754	332
967	9764	322
968	9775	312
969	9785	302
970	9795	292
971	9806	282
972	9815	272
973	9827	262
974	9836	252
975	9847	242
976	9858	232
977	9867	221
978	9879	211
979	9890	201
980	9899	191
981	9910	181
982	9920	171
983	9930	161
984	9940	151
985	9950	141
986	9961	131
987	9971	121
988	9980	111
989	9991	100
990	10001	90
991	10011	80
992	10022	70
993	10031	60
994	10042	50
995	10052	40
996	10061	30
997	10072	20
998	10081	10
999	10092	0
